FAMSUP,STUBEHA,STAFFSHORT,PROPSUPP,SCHSIZE,RATCMP1,LANGN_Other,REPEAT_Repeated at lease once,SCHLTYPE_Private independent,SCHLTYPE_Public,IMMIG_Native student,external_evaluation_No,"external_evaluation_Yes, based on school initiative","external_evaluation_Yes, this is mandatory, e.g. based on district or ministry policies",Gender_Male,additional_math_classes_No,additional_math_classes_Yes,PROGN_Technical,PROGN_Vocational,CLSIZE,math_grouping,degree_of_competition,municipality_size,EDUSHORT_binned,ESCS,INSTLEAD,TEACHBEHA,DIGPREP,SCHAUTO_ORDINAL,track_student_attendance,PROATCE,SCSUPRTED,PROBSCRI
0.06974911060056972,0.15873514113534123,1.0255949900391057,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.0601,-0.14382,0.57622,-0.25184,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-2.0098,-0.27220000000000005,0.15853999999999996,0.25872,2.0,0,0,0,0
0.5608224711557405,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.167,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-0.2755692246516226,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.2894,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.22648786993330303,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.1034,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-1.5071609643011534,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.2222,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.26235254156076354,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0114,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.19186843063827905,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.2142,-0.966,0.4883,-0.4675,2.0,1,1,1,1
-1.0848515811444182,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.3595,-0.966,0.4883,-0.4675,2.0,1,1,1,1
0.6208237460696675,-0.6489624508838782,0.8352004974289892,-0.7619666745205026,-0.0907709364620056,-0.037008988664087354,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-0.3374,-0.966,0.4883,-0.4675,2.0,1,1,1,1
