schoolID,studentID,Gender,PROGN,IMMIG,LANGN,REPEAT,FAMSUP,ESCS,PV1MATH,municipality_size,degree_of_competition,external_evaluation,math_grouping,additional_math_classes,track_student_attendance,SCHLTYPE,SCHSIZE,PROATCE,PROPSUPP,INSTLEAD,RATCMP1,STAFFSHORT,STUBEHA,TEACHBEHA,CLSIZE,SCSUPRTED,PROBSCRI,DIGPREP,SCHAUTO_ORDINAL,EDUSHORT_binned
38000064.0,38000081.0,Female,Technical,Native student,Italian,Never repeated,-0.1504,-0.1786,370.39,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38000903.0,Male,Technical,Native student,Italian,Never repeated,,-0.6603,348.278,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38000991.0,Male,Technical,Native student,Italian,Never repeated,-0.9137,0.0194,507.271,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38001830.0,Male,Technical,Native student,Italian,Repeated at lease once,,1.237,437.464,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38002163.0,Male,Technical,Native student,Italian,Never repeated,-0.9377,-0.667,459.003,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38003034.0,Male,Technical,Immig student,Italian,Never repeated,-0.0263,-0.3971,434.731,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38003069.0,Male,Technical,Native student,Italian,Repeated at lease once,0.5769,-0.4411,502.585,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38003562.0,Female,Technical,Native student,Italian,Never repeated,0.0691,-0.4247,472.269,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38004339.0,Female,Technical,Native student,Italian,Never repeated,,0.9113,476.265,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38004406.0,Male,Technical,Native student,Italian,Never repeated,0.4283,-0.4138,411.259,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38004524.0,Male,Technical,Native student,Italian,Repeated at lease once,,-1.2375,385.293,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38004566.0,Male,Technical,Native student,Italian,Never repeated,0.8468,0.3476,436.128,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38004989.0,Male,Technical,Native student,Italian,Never repeated,0.308,0.343,524.376,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
38000064.0,38005926.0,Female,Technical,Native student,Italian,Never repeated,1.717,-1.9589,554.023,A town (15 000 to about 100 000 people),There are no other schools in this area that compete for our students.,No,For all classes,No,Yes,Public,690.0,0.8031,0.2162,-0.667,0.7025,0.1964,0.048,-0.5205,21-25 students,Some support from education authorities,-1.0628,-0.2788,2,Middle
